type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.379355731	36.722071654	1790.9				
T	-1.377932930	36.722222739	1794.0				
T	-1.376408287	36.722383058	1794.8				
T	-1.374985753	36.722532649	1797.0				
T	-1.373767554	36.722661790	1797.9				
T	-1.372648171	36.722776151	1798.6				
T	-1.371828046	36.722851172	1798.4				
T	-1.370993254	36.722907908	1788.0				
T	-1.369663963	36.723037059	1781.3				
T	-1.368976576	36.723140302	1796.6				
T	-1.368480334	36.723206745	1808.3				
T	-1.367877552	36.723277520	1814.3				
T	-1.367275154	36.723348246	1814.9				
T	-1.365855109	36.723405782	1811.3				
T	-1.365035910	36.723391142	1813.1				
T	-1.364216959	36.723376498	1819.7				
T	-1.363513908	36.723456566	1824.3				
T	-1.362811803	36.723537079	1829.8				
T	-1.362310208	36.723594068	1833.9				
T	-1.361707337	36.723661722	1839.2				
T	-1.360898182	36.723746853	1842.3				
T	-1.360797045	36.723757496	1842.5				
T	-1.361403881	36.723693643	1840.6				
T	-1.363691912	36.723228492	1822.7				
T	-1.364980470	36.722879284	1814.2				
T	-1.366676238	36.722487724	1814.0				
T	-1.368358606	36.722078234	1800.5				
T	-1.370361662	36.721739950	1790.8				
T	-1.372320460	36.721575820	1802.3				
T	-1.373845419	36.721417801	1796.2				
T	-1.375265342	36.721264144	1795.0				
T	-1.376586781	36.721125532	1794.3				
T	-1.378008742	36.720972983	1792.4				
T	-1.379324597	36.720819226	1785.8				
T	-1.381967954	36.720530699	1769.3				
T	-1.383390222	36.720366502	1766.0				
T	-1.384510050	36.720241846	1763.8				
T	-1.385633030	36.720128577	1757.4				
T	-1.386757306	36.720023258	1759.1				
T	-1.387685920	36.720030922	1758.8				
T	-1.388714886	36.720011657	1757.1				
T	-1.390063014	36.720081857	1754.5				
T	-1.391094405	36.720082948	1763.2				
T	-1.391819373	36.720110008	1764.5				
T	-1.391921461	36.720099489	1764.6				
T	-1.392431908	36.720046867	1765.4				
T	-1.393350767	36.719952145	1763.4				
T	-1.394269403	36.719860962	1764.8				
T	-1.394881694	36.719800644	1762.7				
T	-1.395800823	36.719703689	1762.8				
T	-1.396208232	36.719668582	1765.1				
T	-1.396921203	36.719604477	1769.7				
